id,n_pixels,area_km2,centroid_y,centroid_x,mean_lst,max_lst,mean_gi_star,max_gi_star,intensity_score,extent_score,significance_score,priority_score,rank
6,882,2.2050000000000005,326.0907029478458,318.6984126984127,43.47820618181744,45.30854364168846,7.496687412261963,13.030699729919434,1.0,0.0011889942443417223,0.41544555357475654,0.5249903643457295,1
5,1717,4.2925,326.05183459522425,367.29761211415257,42.66347452921882,45.88238823413849,6.519083023071289,11.426663398742676,0.752505262074844,0.0023262338709457747,0.3549264034444614,0.4081778960245598,2
8,1872,4.680000000000001,408.3728632478632,346.08653846153845,42.270258087133364,46.26200655423678,5.841475486755371,12.27687931060791,0.6330561158787952,0.002537338232770479,0.38700444520277355,0.3700849813821813,3
3,214,0.5350000000000001,161.46728971962617,61.86448598130841,41.88233696191327,44.09148455888797,3.548356294631958,5.390349864959717,0.51521555215974,0.00027920254305848006,0.12718058629296233,0.24432415751470227,4
9,1105,2.7625000000000006,415.84796380090495,404.4579185520362,41.518419321554205,43.98159113384428,3.464639663696289,6.145408630371094,0.40466663615809423,0.0014927121326443614,0.15566841658269345,0.20901499307783905,5
4,269,0.6725000000000001,186.78438661710038,59.62453531598513,41.71993884909891,44.42059059143067,2.542787551879883,3.6921911239624023,0.465883139159296,0.00035411054241563317,0.06311026457144982,0.20539256819787804,6
1,137,0.3425000000000001,85.84671532846716,38.153284671532845,41.59100707594589,43.1016934076945,2.600494146347046,3.3326611518859863,0.42671694829761264,0.00017433134395846556,0.04954545439008009,0.18560271503925665,7
10,10,0.025000000000000005,440.3,445.2,41.648653756666114,42.915783116074856,2.090244770050049,2.1922361850738525,0.44422854256500266,1.3619636246755113e-06,0.006518031358952404,0.1796472350227742,8
11,9,0.022500000000000006,774.6666666666666,80.88888888888889,40.18629113170836,40.87821692228317,1.9825494289398193,2.0194783210754395,0.0,0.0,0.0,0.0,9
2,734243,1835.6075000000003,744.7253211811349,491.6887406485319,,,13.679437637329102,28.524085998535156,,1.0,1.0,,10
13,392,0.9800000000000002,1063.4285714285713,6.711734693877551,,,4.441665172576904,8.645862579345703,,0.0005216320682507212,0.2500087659816799,,11
12,214,0.5350000000000001,852.2803738317757,4.957943925233645,,,3.7301762104034424,6.664698600769043,,0.00027920254305848006,0.17526085789392887,,12
7,190,0.4750000000000001,324.61052631578946,987.6473684210526,,,3.35213041305542,5.065801620483398,,0.0002465154160662677,0.1149356118181157,,13
